id,category_id,question,answer,difficulty,points,options
q_geography_64,geography,ما هو أطول نهر في الوطن العربي؟,نهر النيل,سهل,5,نهر الفرات | نهر دجلة | نهر النيل | نهر الأردن
q_geography_65,geography,كم مضيق يربط بين البحر الأحمر والمحيط الهندي؟,مضيق باب المندب,متوسط,10,مضيق هرمز | مضيق باب المندب | مضيق جبل طارق | قناة السويس
q_science_66,science,ما هي أكبر غدة في جسم الإنسان؟,الكبد,متوسط,10,البنكرياس | الكبد | الغدة الدرقية | الغدة النخامية
q_science_67,science,كم قلباً للأخطبوط؟,3 قلوب,صعب,15,قلب واحد | قلبان | 3 قلوب | 4 قلوب
q_science_68,science,ما هو الغاز الأكثر وفرة في الغلاف الجوي؟,النيتروجين,متوسط,10,الأكسجين | النيتروجين | ثاني أكسيد الكربون | الأرجون
q_science_69,science,كم عدد أسنان الإنسان البالغ؟,32 سناً,سهل,5,28 سناً | 30 سناً | 32 سناً | 34 سناً
q_science_70,science,ما هي السرعة التي ينتقل بها الضوء؟,"300,000 كم/ثانية",متوسط,10,"150,000 كم/ثانية | 200,000 كم/ثانية | 300,000 كم/ثانية | 400,000 كم/ثانية"
q_sports_71,sports,كم عدد اللاعبين في فريق الكرة الطائرة؟,6 لاعبين,متوسط,10,4 لاعبين | 5 لاعبين | 6 لاعبين | 7 لاعبين
q_sports_72,sports,من فاز بكأس العالم 2018؟,فرنسا,سهل,5,البرازيل | ألمانيا | فرنسا | كرواتيا
q_sports_73,sports,كم مرة فاز ريال مدريد بدوري أبطال أوروبا؟,14 مرة,متوسط,10,12 مرة | 13 مرة | 14 مرة | 15 مرة
q_sports_74,sports,في أي رياضة يُستخدم مصطلح 'البيردي'؟,الجولف,صعب,15,التنس | الجولف | البيسبول | الكريكيت
q_sports_75,sports,كم دقيقة في مباراة كرة السلة؟,48 دقيقة,متوسط,10,40 دقيقة | 45 دقيقة | 48 دقيقة | 60 دقيقة
q_literature_76,literature,من كتب 'كليلة ودمنة'؟,ابن المقفع,متوسط,10,ابن المقفع | الجاحظ | ابن قتيبة | ابن خلدون
q_literature_77,literature,ما هي جائزة نوبل التي فاز بها نجيب محفوظ؟,الأدب,سهل,5,السلام | الأدب | الطب | الاقتصاد
q_literature_78,literature,من هو صاحب معلقة 'قفا نبك'؟,امرؤ القيس,متوسط,10,امرؤ القيس | عنترة بن شداد | زهير بن أبي سلمى | طرفة بن العبد
q_literature_79,literature,كم عدد المعلقات السبع؟,7 معلقات,سهل,5,5 معلقات | 6 معلقات | 7 معلقات | 10 معلقات
q_literature_80,literature,من كتب رواية 'الأيام'؟,طه حسين,متوسط,10,طه حسين | عباس محمود العقاد | توفيق الحكيم | يوسف إدريس
q_religion_81,religion,كم عدد أجزاء القرآن الكريم؟,30 جزءاً,سهل,5,28 جزءاً | 29 جزءاً | 30 جزءاً | 32 جزءاً
q_religion_82,religion,ما هي أول آية نزلت من القرآن؟,اقرأ باسم ربك الذي خلق,متوسط,10,الحمد لله رب العالمين | اقرأ باسم ربك الذي خلق | قل هو الله أحد | بسم الله الرحمن الرحيم
q_religion_83,religion,كم عدد الأنبياء المذكورين في القرآن؟,25 نبياً,صعب,15,20 نبياً | 22 نبياً | 25 نبياً | 30 نبياً
q_religion_84,religion,ما هي السورة الملقبة بقلب القرآن؟,سورة يس,متوسط,10,سورة الفاتحة | سورة البقرة | سورة يس | سورة الرحمن
q_religion_85,religion,في أي غار نزل الوحي على النبي محمد؟,غار حراء,سهل,5,غار ثور | غار حراء | غار المرسلات | غار الأراك
q_general_86,general,كم قارة في العالم؟,7 قارات,سهل,5,5 قارات | 6 قارات | 7 قارات | 8 قارات
q_general_87,general,ما هو أكبر محيط في العالم؟,المحيط الهادئ,متوسط,10,المحيط الأطلسي | المحيط الهندي | المحيط الهادئ | المحيط المتجمد الشمالي
q_general_88,general,كم دولة في الاتحاد الأوروبي؟,27 دولة,صعب,15,25 دولة | 26 دولة | 27 دولة | 28 دولة
q_general_89,general,ما هي عاصمة أستراليا؟,كانبرا,متوسط,10,سيدني | ملبورن | كانبرا | بيرث
q_general_90,general,كم ساعة في الأسبوع؟,168 ساعة,متوسط,10,144 ساعة | 156 ساعة | 168 ساعة | 172 ساعة
q_entertainment_91,entertainment,من هو مخرج فيلم 'المومياء' المصري؟,شادي عبد السلام,صعب,15,يوسف شاهين | شادي عبد السلام | صلاح أبو سيف | هنري بركات
q_entertainment_92,entertainment,كم جائزة أوسكار فاز بها فيلم تايتانيك؟,11 جائزة,متوسط,10,9 جوائز | 10 جوائز | 11 جائزة | 12 جائزة
q_entertainment_93,entertainment,من غنى 'ثورة الشك'؟,عبد الحليم حافظ,متوسط,10,محمد عبد الوهاب | عبد الحليم حافظ | فريد الأطرش | محمد فوزي
q_entertainment_94,entertainment,في أي عام توفيت أم كلثوم؟,1975,صعب,15,1973 | 1974 | 1975 | 1976
q_entertainment_95,entertainment,من هو بطل فيلم 'الكيت كات'؟,محمود عبد العزيز,متوسط,10,أحمد زكي | محمود عبد العزيز | نور الشريف | عادل إمام
q_technology_96,technology,في أي عام أُطلق أول آيفون؟,2007,متوسط,10,2005 | 2006 | 2007 | 2008
q_technology_97,technology,ما هو أول محرك بحث على الإنترنت؟,Archie,صعب,15,Google | Yahoo | Archie | AltaVista
q_technology_98,technology,من مؤسس شركة أمازون؟,جيف بيزوس,سهل,5,إيلون ماسك | جيف بيزوس | وارن بافيت | لاري إليسون
q_technology_99,technology,ما معنى WiFi؟,Wireless Fidelity,متوسط,10,Wireless Fidelity | Wide Fidelity | Wireless Internet | Wide Internet
q_technology_100,technology,كم بت في البايت الواحد؟,8 بت,متوسط,10,4 بت | 6 بت | 8 بت | 16 بت
q_arabic_culture_101,arabic_culture,ما هو أشهر سوق تراثي في السعودية؟,سوق عكاظ,متوسط,10,سوق واقف | سوق عكاظ | سوق الحميدية | خان الخليلي
q_arabic_culture_102,arabic_culture,ما هي عاصمة الثقافة العربية لعام 2022؟,الكويت,صعب,15,الرياض | القاهرة | الكويت | عمّان
q_arabic_culture_103,arabic_culture,كم برجاً في أبراج الكويت؟,3 أبراج,سهل,5,2 برج | 3 أبراج | 4 أبراج | 5 أبراج
q_arabic_culture_104,arabic_culture,ما هو اللباس التقليدي للرجال في الخليج؟,الثوب والغترة,سهل,5,الجلابية | الثوب والغترة | القفطان | السروال
q_arabic_culture_105,arabic_culture,في أي مدينة يقع المسجد الأقصى؟,القدس,سهل,5,مكة | المدينة | القدس | دمشق
q_arabic_culture_106,arabic_culture,متى استقلت الكويت؟,1961,متوسط,10,1959 | 1960 | 1961 | 1962
q_geography_107,geography,كم جزيرة تتبع دولة الكويت؟,9 جزر,صعب,15,7 جزر | 8 جزر | 9 جزر | 10 جزر
q_history_108,history,من هو مؤسس دولة الكويت الحديثة؟,الشيخ صباح الأول,متوسط,10,الشيخ مبارك الصباح | الشيخ صباح الأول | الشيخ جابر الأول | الشيخ أحمد الجابر
q_sports_109,sports,في أي عام فازت الكويت بكأس الخليج لأول مرة؟,1970,صعب,15,1968 | 1970 | 1972 | 1974
q_general_110,general,ما هو شعار دولة الكويت؟,صقر,سهل,5,نسر | صقر | غزال | حصان
q_history_111,history,متى توحدت المملكة العربية السعودية؟,1932,متوسط,10,1930 | 1931 | 1932 | 1933
q_geography_112,geography,كم منطقة إدارية في السعودية؟,13 منطقة,متوسط,10,11 منطقة | 12 منطقة | 13 منطقة | 14 منطقة
q_arabic_culture_113,arabic_culture,ما هو الزي الرسمي للنساء في السعودية؟,العباءة,سهل,5,الجلابية | العباءة | الثوب | البرقع
q_general_114,general,كم نخلة في شعار السعودية؟,نخلة واحدة,متوسط,10,نخلة واحدة | نخلتان | ثلاث نخلات | لا توجد نخلة
q_religion_115,religion,كم مرة يؤدي المسلمون العمرة في السعودية سنوياً؟,على مدار السنة,سهل,5,مرة واحدة | مرتان | في رمضان فقط | على مدار السنة
q_history_116,history,من هو أول خليفة أموي؟,معاوية بن أبي سفيان,متوسط,10,أبو بكر الصديق | عمر بن الخطاب | معاوية بن أبي سفيان | عبد الملك بن مروان
q_history_117,history,متى انتهت الحرب العالمية الثانية؟,1945,سهل,5,1943 | 1944 | 1945 | 1946
q_history_118,history,كم سنة استمرت الحضارة الفرعونية؟,3000 سنة,صعب,15,2000 سنة | 2500 سنة | 3000 سنة | 3500 سنة
q_history_119,history,من هو فاتح القسطنطينية؟,محمد الفاتح,متوسط,10,سليمان القانوني | محمد الفاتح | بايزيد الأول | مراد الثاني
q_history_120,history,في أي عام تأسست جامعة الدول العربية؟,1945,متوسط,10,1943 | 1944 | 1945 | 1946
q_history_121,history,من هو صلاح الدين الأيوبي؟,محرر القدس من الصليبيين,سهل,5,خليفة عباسي | محرر القدس من الصليبيين | سلطان عثماني | أمير أموي
q_history_122,history,متى كانت معركة عين جالوت؟,658 هجري,صعب,15,656 هجري | 657 هجري | 658 هجري | 659 هجري
q_history_123,history,من بنى مدينة بغداد؟,أبو جعفر المنصور,متوسط,10,هارون الرشيد | أبو جعفر المنصور | المأمون | المعتصم بالله
q_geography_124,geography,ما هي أكبر صحراء في العالم؟,الصحراء الكبرى,متوسط,10,صحراء الربع الخالي | الصحراء الكبرى | صحراء جوبي | صحراء كالاهاري
q_geography_125,geography,كم دولة تطل على البحر الأبيض المتوسط؟,22 دولة,صعب,15,18 دولة | 20 دولة | 22 دولة | 24 دولة
q_geography_126,geography,أين يقع بحر الميت؟,بين الأردن وفلسطين,سهل,5,بين مصر والسودان | بين الأردن وفلسطين | في تركيا | في إيران
q_geography_127,geography,ما هي عاصمة لبنان؟,بيروت,سهل,5,دمشق | بيروت | عمان | القاهرة
q_geography_128,geography,كم عدد الإمارات في دولة الإمارات؟,7 إمارات,متوسط,10,5 إمارات | 6 إمارات | 7 إمارات | 8 إمارات
q_geography_129,geography,ما هو أعلى جبل في الوطن العربي؟,جبل توبقال,صعب,15,جبل سانت كاترين | جبل توبقال | جبل شمس | جبل اللوز
q_geography_130,geography,أين تقع مدينة تدمر الأثرية؟,سوريا,متوسط,10,الأردن | سوريا | العراق | لبنان
q_geography_131,geography,كم مضيق يفصل بين آسيا وأوروبا؟,مضيقان,متوسط,10,مضيق واحد | مضيقان | ثلاثة مضائق | أربعة مضائق
q_science_132,science,ما هو أقرب كوكب للشمس؟,عطارد,سهل,5,الزهرة | عطارد | الأرض | المريخ
q_science_133,science,كم عدد أضلاع القفص الصدري للإنسان؟,24 ضلعاً,متوسط,10,20 ضلعاً | 22 ضلعاً | 24 ضلعاً | 26 ضلعاً
q_science_134,science,ما هي درجة غليان الماء؟,100 درجة مئوية,سهل,5,90 درجة | 100 درجة مئوية | 110 درجة | 120 درجة
q_science_135,science,من هو مكتشف قانون الجاذبية؟,إسحاق نيوتن,متوسط,10,ألبرت أينشتاين | إسحاق نيوتن | جاليليو | كوبرنيكوس
q_science_136,science,كم يستغرق ضوء الشمس للوصول إلى الأرض؟,8 دقائق,صعب,15,4 دقائق | 6 دقائق | 8 دقائق | 10 دقائق
q_science_137,science,ما هو أكبر عضو داخلي في جسم الإنسان؟,الكبد,متوسط,10,القلب | الرئتان | الكبد | المعدة
q_science_138,science,كم عدد فقرات العمود الفقري؟,33 فقرة,صعب,15,31 فقرة | 32 فقرة | 33 فقرة | 34 فقرة
q_science_139,science,ما هو الحيوان الأطول في العالم؟,الزرافة,سهل,5,الفيل | الزرافة | الجمل | النعامة
q_sports_140,sports,كم لاعباً في فريق الهوكي؟,6 لاعبين,صعب,15,5 لاعبين | 6 لاعبين | 7 لاعبين | 8 لاعبين
q_sports_141,sports,من هو الهداف التاريخي للمنتخب السعودي؟,ماجد عبد الله,متوسط,10,سامي الجابر | ماجد عبد الله | ياسر القحطاني | محمد الدعيع
q_sports_142,sports,كم مرة استضافت قطر كأس آسيا؟,مرتان,صعب,15,مرة واحدة | مرتان | ثلاث مرات | لم تستضفها
q_sports_143,sports,في أي عام فازت مصر بكأس أفريقيا لأول مرة؟,1957,صعب,15,1955 | 1956 | 1957 | 1958
q_sports_144,sports,كم عدد اللاعبين في فريق البيسبول؟,9 لاعبين,صعب,15,7 لاعبين | 8 لاعبين | 9 لاعبين | 10 لاعبين
q_sports_145,sports,من هو أفضل لاعب في العالم لعام 2023؟,ليونيل ميسي,سهل,5,كريستيانو رونالدو | ليونيل ميسي | كيليان مبابي | إيرلينج هالاند
q_sports_146,sports,كم دقيقة في الشوط الإضافي في كرة القدم؟,15 دقيقة,متوسط,10,10 دقائق | 15 دقيقة | 20 دقيقة | 30 دقيقة
q_sports_147,sports,في أي دولة نشأت رياضة الكاراتيه؟,اليابان,متوسط,10,الصين | اليابان | كوريا | تايلاند
q_literature_148,literature,من كتب 'رباعيات الخيام'؟,عمر الخيام,متوسط,10,أبو نواس | عمر الخيام | المتنبي | أبو العلاء المعري
q_literature_149,literature,ما هو الكتاب الأكثر مبيعاً بعد القرآن والإنجيل؟,الأمير لميكافيلي,صعب,15,ألف ليلة وليلة | الأمير لميكافيلي | دون كيخوته | الحرب والسلام
q_literature_150,literature,من هو مؤلف 'زقاق المدق'؟,نجيب محفوظ,سهل,5,نجيب محفوظ | يوسف إدريس | توفيق الحكيم | إحسان عبد القدوس
q_literature_151,literature,كم بيتاً في القصيدة؟,يختلف حسب القصيدة,سهل,5,10 أبيات | 20 بيتاً | يختلف حسب القصيدة | 100 بيت
q_literature_152,literature,من هو شاعر الفلاسفة؟,أبو العلاء المعري,متوسط,10,المتنبي | أبو تمام | أبو العلاء المعري | البحتري
q_literature_153,literature,من كتب 'الحرافيش'؟,نجيب محفوظ,متوسط,10,طه حسين | نجيب محفوظ | يوسف السباعي | إحسان عبد القدوس
q_literature_154,literature,ما هي أطول سورة في القرآن؟,سورة البقرة,سهل,5,سورة آل عمران | سورة البقرة | سورة النساء | سورة المائدة
q_literature_155,literature,من هو مؤلف 'رسالة الغفران'؟,أبو العلاء المعري,صعب,15,الجاحظ | ابن المقفع | أبو العلاء المعري | ابن خلدون
q_religion_156,religion,كم عدد الصلوات المفروضة؟,5 صلوات,سهل,5,3 صلوات | 4 صلوات | 5 صلوات | 6 صلوات
q_religion_157,religion,ما هي أطول آية في القرآن؟,آية الدين,صعب,15,آية الكرسي | آية الدين | آية النور | آية المواريث
q_religion_158,religion,كم مرة ذُكر اسم مريم في القرآن؟,34 مرة,صعب,15,24 مرة | 30 مرة | 34 مرة | 40 مرة
q_religion_159,religion,ما هي السورة التي لا تبدأ بالبسملة؟,سورة التوبة,متوسط,10,سورة النمل | سورة التوبة | سورة الفاتحة | سورة البقرة
q_religion_160,religion,كم عدد أبواب الجنة؟,8 أبواب,متوسط,10,6 أبواب | 7 أبواب | 8 أبواب | 9 أبواب
q_religion_161,religion,من هو النبي الذي لُقب بكليم الله؟,موسى عليه السلام,سهل,5,إبراهيم | موسى عليه السلام | عيسى | محمد
q_religion_162,religion,في أي يوم من أيام الأسبوع خُلق آدم؟,يوم الجمعة,متوسط,10,يوم الإثنين | يوم الأربعاء | يوم الجمعة | يوم الأحد
q_religion_163,religion,كم سنة نام أصحاب الكهف؟,309 سنة,صعب,15,100 سنة | 200 سنة | 309 سنة | 400 سنة
q_general_164,general,كم لتراً في المتر المكعب؟,1000 لتر,متوسط,10,100 لتر | 500 لتر | 1000 لتر | 10000 لتر
q_general_165,general,ما هو الرقم الروماني لـ 50؟,L,صعب,15,X | V | L | C
q_general_166,general,كم شهراً في السنة له 31 يوماً؟,7 أشهر,متوسط,10,5 أشهر | 6 أشهر | 7 أشهر | 8 أشهر
q_general_167,general,ما هي اللغة الرسمية في البرازيل؟,البرتغالية,متوسط,10,الإسبانية | البرتغالية | الإنجليزية | الفرنسية
q_general_168,general,كم عدد أيام شهر فبراير في السنة الكبيسة؟,29 يوماً,سهل,5,28 يوماً | 29 يوماً | 30 يوماً | 31 يوماً
q_general_169,general,ما هو أثقل المعادن؟,الأوزميوم,صعب,15,الذهب | الرصاص | الأوزميوم | البلاتين
q_general_170,general,كم زاوية في المثلث؟,3 زوايا,سهل,5,2 زاوية | 3 زوايا | 4 زوايا | 5 زوايا
q_general_171,general,ما هو الحيوان الذي ينام واقفاً؟,الحصان,متوسط,10,الجمل | الحصان | البقرة | الفيل
q_entertainment_172,entertainment,من هو مخرج فيلم 'العار'؟,علي عبد الخالق,صعب,15,يوسف شاهين | علي عبد الخالق | صلاح أبو سيف | عاطف الطيب
q_entertainment_173,entertainment,كم فيلماً مثل فيه عادل إمام؟,أكثر من 100 فيلم,متوسط,10,50 فيلماً | 75 فيلماً | أكثر من 100 فيلم | 150 فيلماً
q_entertainment_174,entertainment,من غنت 'ست الحبايب'؟,فيروز,سهل,5,أم كلثوم | فيروز | وردة | نجاة الصغيرة
q_entertainment_175,entertainment,في أي عام عُرض مسلسل 'باب الحارة' لأول مرة؟,2006,صعب,15,2004 | 2005 | 2006 | 2007
q_entertainment_176,entertainment,من هو ملحن النشيد الوطني السعودي؟,عبد الرحمن الخطيب,صعب,15,طارق عبد الحكيم | عبد الرحمن الخطيب | سراج عمر | غازي علي
q_entertainment_177,entertainment,كم جائزة حصل عليها فيلم 'المصير' ليوسف شاهين؟,جائزة لجنة التحكيم في كان,صعب,15,جائزة أفضل فيلم | جائزة لجنة التحكيم في كان | جائزة أفضل إخراج | لم يحصل على جوائز
q_entertainment_178,entertainment,من هو مؤلف مسلسل 'رأفت الهجان'؟,صالح مرسي,متوسط,10,أسامة أنور عكاشة | صالح مرسي | محفوظ عبد الرحمن | وحيد حامد
q_entertainment_179,entertainment,في أي عام توفي الفنان أحمد زكي؟,2005,متوسط,10,2003 | 2004 | 2005 | 2006
q_technology_180,technology,ما هو أول موقع تواصل اجتماعي؟,SixDegrees,صعب,15,Facebook | MySpace | SixDegrees | Friendster
q_technology_181,technology,كم عدد الميجابايت في الجيجابايت؟,1024 ميجابايت,متوسط,10,100 ميجابايت | 1000 ميجابايت | 1024 ميجابايت | 2048 ميجابايت
q_technology_182,technology,من اخترع الإنترنت؟,تيم بيرنرز لي,متوسط,10,بيل غيتس | ستيف جوبز | تيم بيرنرز لي | مارك زوكربيرغ
q_technology_183,technology,ما هو أسرع كمبيوتر في العالم؟,يتغير باستمرار,صعب,15,Summit | Fugaku | يتغير باستمرار | Tianhe-2
